date,AAPL,MSFT,SPY
2020-01-02,72.53851318359375,152.79110717773438,298.5786437988281
2020-01-03,71.83329772949219,150.88861083984375,296.31781005859375
2020-01-06,72.40567779541016,151.2786407470703,297.4483337402344
2020-01-07,72.06517028808594,149.89932250976562,296.61181640625
2020-01-08,73.22441864013672,152.2869873046875,298.1925964355469
2020-01-09,74.77976989746094,154.1894989013672,300.214599609375
2020-01-10,74.94880676269531,153.4760284423828,299.3506774902344
2020-01-13,76.55004119873047,155.32147216796875,301.4093933105469
2020-01-14,75.51636505126953,154.22752380371094,300.9499206542969
2020-01-15,75.19273376464844,155.22634887695312,301.6299743652344
2020-01-16,76.1346435546875,158.0706024169922,304.1390686035156
2020-01-17,76.97752380371094,158.9552764892578,305.0856628417969
2020-01-21,76.45584869384766,158.38450622558594,304.4882507324219
2020-01-22,76.7287826538086,157.62350463867188,304.5250549316406
2020-01-23,77.0982666015625,158.59381103515625,304.8742980957031
2020-01-24,76.8760757446289,156.9956817626953,302.1629943847656
2020-01-27,74.61553192138672,154.3702392578125,297.3194885253906
2020-01-28,76.72635650634766,157.39523315429688,300.4352111816406
2020-01-29,78.3324203491211,159.8494873046875,300.1869812011719
2020-01-30,78.21890258789062,164.3583984375,301.1612548828125
2020-01-31,74.75078582763672,161.93272399902344,295.6927795410156
2020-02-03,74.54549407958984,165.8804473876953,297.8893737792969
2020-02-04,77.00650024414062,171.3406524658203,302.4294738769531
2020-02-05,77.63445281982422,171.13136291503906,305.92205810546875
2020-02-06,78.54253387451172,174.6795654296875,306.95135498046875
2020-02-07,77.47492980957031,174.92691040039062,305.31549072265625
2020-02-10,77.84288787841797,179.5024871826172,307.5947265625
2020-02-11,77.37326049804688,175.45008850097656,308.1278076171875
2020-02-12,79.21068572998047,175.70693969726562,310.113037109375
2020-02-13,78.6466293334961,174.7556610107422,309.78216552734375
2020-02-14,78.66600799560547,176.31573486328125,310.2784118652344
2020-02-18,77.22559356689453,178.10409545898438,309.4788513183594
2020-02-19,78.34400939941406,178.63829040527344,310.9586181640625
2020-02-20,77.54027557373047,175.91026306152344,309.6810302734375
2020-02-21,75.78515625,170.3492431640625,306.4919128417969
2020-02-24,72.18534088134766,163.0045623779297,296.3269348144531
2020-02-25,69.74028015136719,160.3147430419922,287.3475341796875
2020-02-26,70.8465805053711,162.31777954101562,286.2906799316406
2020-02-27,66.21548461914062,150.88107299804688,273.43280029296875
2020-02-28,66.1767578125,154.53431701660156,272.28399658203125
2020-03-02,72.3378677368164,164.81686401367188,284.0756530761719
2020-03-03,70.04043579101562,156.91897583007812,275.94195556640625
2020-03-04,73.28925323486328,162.68026733398438,287.5406188964844
2020-03-05,70.91195678710938,158.5977325439453,277.9822692871094
2020-03-06,69.97025299072266,154.11463928222656,273.3868713378906
2020-03-09,64.4361572265625,143.6698760986328,252.03689575195312
2020-03-10,69.07695007324219,153.49461364746094,265.0784912109375
2020-03-11,66.67788696289062,146.54098510742188,252.15638732910156
2020-03-12,60.09312057495117,132.6432647705078,228.03074645996094
2020-03-13,67.29277801513672,151.5010528564453,247.52427673339844
2020-03-16,58.63577651977539,129.17123413085938,220.43919372558594
2020-03-17,61.21398162841797,139.8067626953125,232.34120178222656
2020-03-18,59.7154655456543,133.92144775390625,220.5771026611328
2020-03-19,59.2579231262207,136.12486267089844,221.0458526611328
2020-03-20,55.495906829833984,131.01219177246094,211.52003479003906
2020-03-23,54.316932678222656,129.7054443359375,206.11178588867188
2020-03-24,59.766300201416016,141.49510192871094,224.78623962402344
2020-03-25,59.437068939208984,140.14064025878906,228.15133666992188
2020-03-26,62.56483459472656,148.90658569335938,241.4730682373047
2020-03-27,59.97449493408203,142.79234313964844,234.28057861328125
2020-03-30,61.686058044433594,152.8364715576172,241.8889923095703
2020-03-31,61.56016159057617,150.43276977539062,238.28353881835938
2020-04-01,58.321041107177734,145.09112548828125,227.55967712402344
2020-04-02,59.29423141479492,148.09576416015625,232.81069946289062
2020-04-03,58.442100524902344,146.73178100585938,229.44561767578125
2020-04-06,63.54042434692383,157.6438751220703,244.85662841796875
2020-04-07,62.80448913574219,155.94602966308594,245.1062469482422
2020-04-08,64.41194915771484,157.51039123535156,253.33395385742188
2020-04-09,64.87676239013672,157.51991271972656,257.18914794921875
2020-04-13,66.15011596679688,157.872802734375,254.84097290039062
2020-04-14,69.49090576171875,165.6848907470703,262.35693359375
2020-04-15,68.85663604736328,163.94888305664062,256.7823791503906
2020-04-16,69.40377807617188,168.87075805664062,258.0211486816406
2020-04-17,68.4620590209961,170.35879516601562,264.99169921875
2020-04-20,67.04100799560547,166.98216247558594,260.3231201171875
2020-04-21,64.96873474121094,160.0762176513672,252.4187774658203
2020-04-22,66.840087890625,165.51319885253906,258.0211486816406
2020-04-23,66.5810317993164,163.51010131835938,258.0025939941406
2020-04-24,68.5031967163086,166.49566650390625,261.598876953125
2020-04-27,68.5516357421875,166.01876831054688,265.3707580566406
2020-04-28,67.44043731689453,161.9744110107422,264.1504821777344
2020-04-29,69.65553283691406,169.24281311035156,271.06549072265625
2020-04-30,71.12500762939453,170.94068908691406,268.5416259765625
2020-05-01,69.97992706298828,166.51475524902344,261.4324645996094
2020-05-04,70.97005462646484,170.58773803710938,262.1535949707031
2020-05-05,72.03523254394531,172.41912841796875,264.57568359375
2020-05-06,72.7784652709961,174.11697387695312,262.7822265625
2020-05-07,73.53133392333984,175.12808227539062,265.9531555175781
2020-05-08,75.28150939941406,176.15826416015625,270.35357666015625
2020-05-11,76.4660873413086,178.12318420410156,270.40911865234375
